,database,scenario,fuelOrTech,2018,2020
0,A.sqlite,solve,EC_BATT,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,0.0
5,A.sqlite,solve,EC_NG_OC,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0
7,A.sqlite,solve,EC_PUMP,0.0,0.0
8,A.sqlite,solve,EC_SOLPV,0.0,0.0
9,A.sqlite,solve,EC_WIND,0.0,0.0
10,A.sqlite,solve,ED_BATT,0.0,0.0
11,A.sqlite,solve,ED_BIO,0.0,0.0
12,A.sqlite,solve,ED_NG_CC,0.0,52005.4994582711
13,A.sqlite,solve,ED_NG_OC,0.0,0.0
14,A.sqlite,solve,ED_SOLPV,0.0,0.0
15,A.sqlite,solve,ED_WIND,0.0,0.0
16,A.sqlite,solve,EX_COAL,9935.099945725871,9935.09994572587
17,A.sqlite,solve,EX_DSL_CC,0.0,0.0
18,A.sqlite,solve,EX_DSL_SIMP,0.0,0.0
19,A.sqlite,solve,EX_HYDRO,1593.2956557190798,1593.2956557190798
20,A.sqlite,solve,EX_MSW_LF,4.906222231147197,4.906222231147199
21,A.sqlite,solve,EX_NG_CC,32095.063725953823,34991.64472465996
22,A.sqlite,solve,EX_NUCLEAR,29071.469062146123,29071.469062146112
23,A.sqlite,solve,EX_OIL_TYPE1,0.0,0.0
24,A.sqlite,solve,EX_OIL_TYPE2,0.0,0.0
25,A.sqlite,solve,EX_OIL_TYPE3,0.0,0.0
26,A.sqlite,solve,EX_PUMP,187.159987649728,918.6953984571786
27,A.sqlite,solve,EX_SOLPV,638.3204977283232,638.3204977283232
28,A.sqlite,solve,EX_WIND,3.9425000253762215,3.9425000253762224
29,B.sqlite,solve,EC_BATT,0.0,0.0
30,B.sqlite,solve,EC_BIO,0.0,22173.165145516297
31,B.sqlite,solve,EC_PUMP,0.0,558.4186271689571
32,B.sqlite,solve,EC_SOLPV,0.0,0.0
33,B.sqlite,solve,EC_WIND,0.0,0.0
34,B.sqlite,solve,ED_BATT,0.0,0.0
35,B.sqlite,solve,ED_BIO,0.0,0.0
36,B.sqlite,solve,ED_SOLPV,0.0,3982.583634354957
37,B.sqlite,solve,ED_WIND,0.0,0.0
38,B.sqlite,solve,EX_COAL,9935.099945725873,9935.099945725873
39,B.sqlite,solve,EX_DSL_CC,0.0,1.752222228346223
40,B.sqlite,solve,EX_DSL_SIMP,0.0,0.9432738574212859
41,B.sqlite,solve,EX_HYDRO,1593.29565571908,1593.2956557190798
42,B.sqlite,solve,EX_MSW_LF,4.906222231147199,4.9062222311472
43,B.sqlite,solve,EX_NG_CC,32095.063723176037,58464.79404816079
44,B.sqlite,solve,EX_NUCLEAR,29071.46906214611,29071.46906214612
45,B.sqlite,solve,EX_OIL_TYPE1,0.0,3385.923132986516
46,B.sqlite,solve,EX_OIL_TYPE2,0.0,1.0790710100299232
47,B.sqlite,solve,EX_OIL_TYPE3,0.0,1.0549773416773152
48,B.sqlite,solve,EX_PUMP,187.159987649728,2285.872712384254
49,B.sqlite,solve,EX_SOLPV,638.3204977283232,638.3204977283233
50,B.sqlite,solve,EX_WIND,3.9425000253762215,3.94250002537622
