,database,scenario,fuelOrTech,2018,2020
0,A.sqlite,solve,EC_BATT,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,0.0
5,A.sqlite,solve,EC_NG_OC,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0
7,A.sqlite,solve,EC_PUMP,0.0,0.0
8,A.sqlite,solve,EC_SOLPV,0.0,0.0
9,A.sqlite,solve,EC_WIND,0.0,0.0
10,A.sqlite,solve,ED_BATT,0.0,0.0
11,A.sqlite,solve,ED_BIO,0.0,0.0
12,A.sqlite,solve,ED_NG_CC,0.0,9.1322275
13,A.sqlite,solve,ED_NG_OC,0.0,0.0
14,A.sqlite,solve,ED_SOLPV,0.0,0.0
15,A.sqlite,solve,ED_WIND,0.0,0.0
16,A.sqlite,solve,EX_COAL,3.78,3.78
17,A.sqlite,solve,EX_DSL_CC,0.001,0.001
18,A.sqlite,solve,EX_DSL_SIMP,0.001,0.001
19,A.sqlite,solve,EX_HYDRO,0.866,0.866
20,A.sqlite,solve,EX_MSW_LF,0.001,0.001
21,A.sqlite,solve,EX_NG_CC,13.134,13.134
22,A.sqlite,solve,EX_NUCLEAR,3.568,3.568
23,A.sqlite,solve,EX_OIL_TYPE1,2.343,2.343
24,A.sqlite,solve,EX_OIL_TYPE2,0.001,0.001
25,A.sqlite,solve,EX_OIL_TYPE3,0.001,0.001
26,A.sqlite,solve,EX_PUMP,3.241,3.241
27,A.sqlite,solve,EX_SOLPV,0.3925,0.3925
28,A.sqlite,solve,EX_WIND,0.001,0.001
29,B.sqlite,solve,EC_BATT,0.0,0.0
30,B.sqlite,solve,EC_BIO,0.0,4.9934583
31,B.sqlite,solve,EC_PUMP,0.0,0.57884268
32,B.sqlite,solve,EC_SOLPV,0.0,0.0
33,B.sqlite,solve,EC_WIND,0.0,0.0
34,B.sqlite,solve,ED_BATT,0.0,0.0
35,B.sqlite,solve,ED_BIO,0.0,0.0
36,B.sqlite,solve,ED_SOLPV,0.0,2.4488703
37,B.sqlite,solve,ED_WIND,0.0,0.0
38,B.sqlite,solve,EX_COAL,3.78,3.78
39,B.sqlite,solve,EX_DSL_CC,0.001,0.001
40,B.sqlite,solve,EX_DSL_SIMP,0.001,0.001
41,B.sqlite,solve,EX_HYDRO,0.866,0.866
42,B.sqlite,solve,EX_MSW_LF,0.001,0.001
43,B.sqlite,solve,EX_NG_CC,13.134,13.134
44,B.sqlite,solve,EX_NUCLEAR,3.568,3.568
45,B.sqlite,solve,EX_OIL_TYPE1,2.343,2.343
46,B.sqlite,solve,EX_OIL_TYPE2,0.001,0.001
47,B.sqlite,solve,EX_OIL_TYPE3,0.001,0.001
48,B.sqlite,solve,EX_PUMP,3.241,3.241
49,B.sqlite,solve,EX_SOLPV,0.3925,0.3925
50,B.sqlite,solve,EX_WIND,0.001,0.001
