,database,scenario,fuelOrTech,2018,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7292304
1,A.sqlite,solve,COAL_TAXED,3.78,3.78,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
3,A.sqlite,solve,ELC_CENTRAL,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,3.4039828,3.4039828,3.4039828,0.12551149,17.978799
5,A.sqlite,solve,HYDRO,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866
6,A.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7,A.sqlite,solve,NATGAS_TAXED,13.134,29.563254,20.967254,23.011745,23.011745,23.011745,19.381345,2.0444911
8,A.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
9,A.sqlite,solve,OIL_TAXED,2.3449999999999998,2.3449999999999998,0.002,0.002,0.002,0.002,0.002,0.002
10,A.sqlite,solve,SOLAR,0.3925,0.3925,8.0102026,8.0102026,12.797895,12.797895,12.405395,20.0
11,A.sqlite,solve,WIND,0.001,0.001,6.3290782000000005,12.855151999999999,18.919207,27.915491000000003,40.536226,44.619867
12,B.sqlite,solve,BIO,0.0,3.8898643,3.8898643,3.8898643,3.8898643,3.8898643,3.8898643,3.8898643
13,B.sqlite,solve,COAL_TAXED,3.78,3.78,0.0,0.0,0.0,0.0,0.0,0.0
14,B.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
15,B.sqlite,solve,ELC_CENTRAL,3.241,3.241,3.241,3.241,3.241,3.241,9.1424586,10.2718769
16,B.sqlite,solve,ELC_DIST,0.0,2.5937235,3.1278369,5.5580355,7.8416719,8.5673903,6.1371917,6.9113514
17,B.sqlite,solve,HYDRO,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866
18,B.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
19,B.sqlite,solve,NATGAS_TAXED,13.134,13.134,4.538,4.538,4.538,4.538,0.9076,0.0
20,B.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
21,B.sqlite,solve,OIL_TAXED,2.3449999999999998,2.3449999999999998,0.002,0.002,0.002,0.002,0.002,0.002
22,B.sqlite,solve,SOLAR,0.3925,3.4655444,4.4664923,6.6911917,8.4559004,10.1635947,12.622036,17.477768
23,B.sqlite,solve,WIND,0.001,0.001,22.037654,24.801746,28.447203000000002,32.810945,40.452267,44.584448
