,database,scenario,fuelOrTech,2018,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_PUMP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,A.sqlite,solve,ED_NG_CC,0.0,8.876952,21.531131,33.490062,37.688254,41.65025,45.612246,49.574242
13,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,A.sqlite,solve,ED_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,A.sqlite,solve,ED_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,A.sqlite,solve,EX_COAL,3.78,3.78,0.0,0.0,0.0,0.0,0.0,0.0
17,A.sqlite,solve,EX_DSL_CC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
18,A.sqlite,solve,EX_DSL_SIMP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
19,A.sqlite,solve,EX_HYDRO,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866
20,A.sqlite,solve,EX_MSW_LF,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
21,A.sqlite,solve,EX_NG_CC,13.134,13.134,4.538,4.538,4.538,4.538,0.9076,0.0
22,A.sqlite,solve,EX_NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
23,A.sqlite,solve,EX_OIL_TYPE1,2.343,2.343,0.0,0.0,0.0,0.0,0.0,0.0
24,A.sqlite,solve,EX_OIL_TYPE2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
25,A.sqlite,solve,EX_OIL_TYPE3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
26,A.sqlite,solve,EX_PUMP,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241
27,A.sqlite,solve,EX_SOLPV,0.3925,0.3925,0.3925,0.3925,0.3925,0.3925,0.0,0.0
28,A.sqlite,solve,EX_WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
29,B.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,B.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,B.sqlite,solve,EC_PUMP,0.0,0.0,0.0,0.0,0.0,0.0,5.9014586,7.0166186
32,B.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,B.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,B.sqlite,solve,ED_BATT,0.0,2.5937235,3.1278369,5.5580355,7.8416719,8.5673903,6.1371917,6.9039769
35,B.sqlite,solve,ED_BIO,0.0,3.8898643,3.8898643,3.8898643,3.8898643,3.8898643,3.8898643,3.8898643
36,B.sqlite,solve,ED_SOLPV,0.0,3.0730444,4.0739923,6.2986917,8.0634004,9.7710947,12.622036,17.504898
37,B.sqlite,solve,ED_WIND,0.0,0.0,22.036654,24.800746,28.446203,32.809945,40.452267,44.583217
38,B.sqlite,solve,EX_COAL,3.78,3.78,0.0,0.0,0.0,0.0,0.0,0.0
39,B.sqlite,solve,EX_DSL_CC,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
40,B.sqlite,solve,EX_DSL_SIMP,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
41,B.sqlite,solve,EX_HYDRO,0.866,0.866,0.866,0.866,0.866,0.866,0.866,0.866
42,B.sqlite,solve,EX_MSW_LF,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
43,B.sqlite,solve,EX_NG_CC,13.134,13.134,4.538,4.538,4.538,4.538,0.9076,0.0
44,B.sqlite,solve,EX_NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
45,B.sqlite,solve,EX_OIL_TYPE1,2.343,2.343,0.0,0.0,0.0,0.0,0.0,0.0
46,B.sqlite,solve,EX_OIL_TYPE2,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
47,B.sqlite,solve,EX_OIL_TYPE3,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
48,B.sqlite,solve,EX_PUMP,3.241,3.241,3.241,3.241,3.241,3.241,3.241,3.241
49,B.sqlite,solve,EX_SOLPV,0.3925,0.3925,0.3925,0.3925,0.3925,0.3925,0.0,0.0
50,B.sqlite,solve,EX_WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
