,database,scenario,fuelOrTech,2017,2020,2025,2030,2035,2040,2045,2050
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,3.372,3.372,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
3,A.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,0.0,0.0,0.0,2.5755682,6.5129902
5,A.sqlite,solve,HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
6,A.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
7,A.sqlite,solve,NATGAS_TAXED,13.134,14.108708086,21.834443486,29.384998486,32.521578485999996,31.851290486,30.942166843000003,29.378074807999997
8,A.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
9,A.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1719999999999997,0.002,0.002,0.002,0.002,0.002,0.002
10,A.sqlite,solve,SOLAR,0.538,7.132944500000001,12.272644,16.63467,20.274151,23.482778,31.669933,45.032994
11,A.sqlite,solve,WIND,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0
12,B.sqlite,solve,BIO,0.0,0.29,0.29,0.29,0.29,0.58,0.58,0.58
13,B.sqlite,solve,COAL_TAXED,3.372,3.372,0.0,0.0,0.0,0.0,0.0,0.0
14,B.sqlite,solve,DSL_TAXED,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002
15,B.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.032630883,0.032630883,0.032630883,0.0,0.0
16,B.sqlite,solve,ELC_DIST,0.0,15.622108,30.292267,32.442022,33.243034,41.751093,45.414582,48.750918
17,B.sqlite,solve,HYDRO,0.439,0.439,0.439,0.439,0.439,0.439,0.439,0.439
18,B.sqlite,solve,MSW_LF_TAXED,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
19,B.sqlite,solve,NATGAS_TAXED,13.134,4.538,4.538,4.538,4.538,0.9076,0.0,0.0
20,B.sqlite,solve,NUCLEAR,3.568,3.568,3.568,3.568,3.568,3.568,3.568,3.568
21,B.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1719999999999997,0.002,0.002,0.002,0.002,0.002,0.002
22,B.sqlite,solve,SOLAR,0.538,24.495944,38.561831999999995,40.431807,40.431807,40.431807,39.893807,40.284745
23,B.sqlite,solve,WIND,0.001,0.001,10.871392,15.46265,21.835796000000002,33.74699,40.890688,45.42146
