,database,scenario,fuelOrTech,2016,2021,2026,2031,2036,2041,2046
0,A.sqlite,solve,BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,COAL_TAXED,3.31,3.31,3.31,3.31,3.31,3.31,3.31
2,A.sqlite,solve,DSL_TAXED,0.6739999999999999,0.388,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,ELC_CENTRAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,ELC_DIST,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,A.sqlite,solve,HYDRO,4.036,10.0,10.0,10.0,10.0,10.0,10.0
6,A.sqlite,solve,MSW_LF_TAXED,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
7,A.sqlite,solve,NATGAS_TAXED,13.134,14.8435972,15.00304631,28.5575622,30.3901282,32.2428752,34.095623200000006
8,A.sqlite,solve,OIL_TAXED,2.1719999999999997,2.1713999999999998,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,SOLAR,0.212,0.212,0.212,0.212,0.212,0.0424,0.0
10,A.sqlite,solve,WIND,0.102,11.801351,19.472656,23.32989,26.912646,30.455147999999998,36.693805
