,database,scenario,fuelOrTech,2016,2021,2026,2031,2036,2041,2046
0,A.sqlite,solve,EC_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A.sqlite,solve,EC_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,A.sqlite,solve,EC_COAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A.sqlite,solve,EC_DSL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,A.sqlite,solve,EC_NG_CC,0.0,1.7095972,1.7095972,1.7095972,1.7095972,1.7095972,1.7095972
5,A.sqlite,solve,EC_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A.sqlite,solve,EC_OIL_CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,A.sqlite,solve,EC_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,A.sqlite,solve,EC_WIND,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A.sqlite,solve,ED_BATT,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,A.sqlite,solve,ED_BIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A.sqlite,solve,ED_NG_CC,0.0,0.0,0.15944911,13.713965,15.546531,17.399278,19.252026
12,A.sqlite,solve,ED_NG_OC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,A.sqlite,solve,ED_SOLPV,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,A.sqlite,solve,ED_WIND,0.0,11.699351,19.370656,23.22789,26.810646,30.434748,36.693805
15,A.sqlite,solve,EX_COAL,3.31,3.31,3.31,3.31,3.31,3.31,3.31
16,A.sqlite,solve,EX_DSL_CC,0.296,0.2368,0.0,0.0,0.0,0.0,0.0
17,A.sqlite,solve,EX_DSL_SIMP,0.378,0.1512,0.0,0.0,0.0,0.0,0.0
18,A.sqlite,solve,EX_HYDRO,4.036,10.0,10.0,10.0,10.0,10.0,10.0
19,A.sqlite,solve,EX_MSW_LF,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024
20,A.sqlite,solve,EX_NG_CC,13.134,13.134,13.134,13.134,13.134,13.134,13.134
21,A.sqlite,solve,EX_OIL_TYPE1,2.17,2.17,0.0,0.0,0.0,0.0,0.0
22,A.sqlite,solve,EX_OIL_TYPE2,0.001,0.0008,0.0,0.0,0.0,0.0,0.0
23,A.sqlite,solve,EX_OIL_TYPE3,0.001,0.0006,0.0,0.0,0.0,0.0,0.0
24,A.sqlite,solve,EX_SOLPV,0.212,0.212,0.212,0.212,0.212,0.0424,0.0
25,A.sqlite,solve,EX_WIND,0.102,0.102,0.102,0.102,0.102,0.0204,0.0
