Reading data files.[    0.04]
Creating Temoa model instance.[    0.53]
Solving.[    0.77]
Calculating reporting variables and formatting results.[    1.06]
Model name: The Temoa Energy System Model
Objective function value (TotalCost): 28790.1570536
Non-zero variable values:
     89.2671166488411         Costs[V_DiscountedFixedCostsByProcess,EC_SOLPV,2017]
   3181.0343924100816         Costs[V_DiscountedFixedCostsByProcess,ED_BATT,2017]
   1397.4696473473196         Costs[V_DiscountedFixedCostsByProcess,ED_BATT,2022]
      0.8926711664884108      Costs[V_DiscountedFixedCostsByProcess,ED_SOLPV,2017]
    555.1152707328386         Costs[V_DiscountedInvestmentByProcess,EC_SOLPV,2017]
  16362.602504452929          Costs[V_DiscountedInvestmentByProcess,ED_BATT,2017]
   7188.303404119376          Costs[V_DiscountedInvestmentByProcess,ED_BATT,2022]
      6.772142590222944       Costs[V_DiscountedInvestmentByProcess,ED_SOLPV,2017]
      0.0                     Costs[V_DiscountedVariableCostsByProcess,EC_SOLPV,2017]
      6.8236180636042985      Costs[V_DiscountedVariableCostsByProcess,ED_BATT,2017]
      1.8762860976169917      Costs[V_DiscountedVariableCostsByProcess,ED_BATT,2022]
      0.0                     Costs[V_DiscountedVariableCostsByProcess,ED_SOLPV,2017]
      0.0                     Costs[V_DiscountedVariableCostsByProcess,IMPSOLAR,2017]
     22.02                    Costs[V_UndiscountedFixedCostsByProcess,EC_SOLPV,2017]
    784.6828703610803         Costs[V_UndiscountedFixedCostsByProcess,ED_BATT,2017]
    392.34143518054003        Costs[V_UndiscountedFixedCostsByProcess,ED_BATT,2022]
      0.2202                  Costs[V_UndiscountedFixedCostsByProcess,ED_SOLPV,2017]
    528.681210221751          Costs[V_UndiscountedInvestmentByProcess,EC_SOLPV,2017]
  15583.430956621834          Costs[V_UndiscountedInvestmentByProcess,ED_BATT,2017]
   8737.427714603378          Costs[V_UndiscountedInvestmentByProcess,ED_BATT,2022]
      6.449659609736137       Costs[V_UndiscountedInvestmentByProcess,ED_SOLPV,2017]
      0.0                     Costs[V_UndiscountedVariableCostsByProcess,EC_SOLPV,2017]
      1.6192823914592362      Costs[V_UndiscountedVariableCostsByProcess,ED_BATT,2017]
      0.5267697811868023      Costs[V_UndiscountedVariableCostsByProcess,ED_BATT,2022]
      0.0                     Costs[V_UndiscountedVariableCostsByProcess,ED_SOLPV,2017]
      0.0                     Costs[V_UndiscountedVariableCostsByProcess,IMPSOLAR,2017]
  28790.15705362932           Objective[('TotalCost')]
      0.00984542677314979     V_Activity[2017,fall,0,DIST,2017]
      4.438060175463085e-05   V_Activity[2017,fall,0,EC_SOLPV,2017]
      0.010544318829569434    V_Activity[2017,fall,0,ED_BATT,2017]
      4.438060175463085e-07   V_Activity[2017,fall,0,ED_SOLPV,2017]
      0.00012493555624660163  V_Activity[2017,fall,0,IMPSOLAR,2017]
      0.00984542677314979     V_Activity[2017,fall,0,LOCAL,2017]
      4.1717765649352994e-05  V_Activity[2017,fall,0,TRANS,2017]
      0.009674838453688207    V_Activity[2017,fall,1,DIST,2017]
      2.2848745049067985e-05  V_Activity[2017,fall,1,EC_SOLPV,2017]
      0.010381345792943392    V_Activity[2017,fall,1,ED_BATT,2017]
      2.2848745049067985e-07  V_Activity[2017,fall,1,ED_SOLPV,2017]
      6.432136022004774e-05   V_Activity[2017,fall,1,IMPSOLAR,2017]
      0.009674838453688207    V_Activity[2017,fall,1,LOCAL,2017]
      2.1477820346123904e-05  V_Activity[2017,fall,1,TRANS,2017]
      0.009587668889520512    V_Activity[2017,fall,2,DIST,2017]
      9.75199957203971e-06    V_Activity[2017,fall,2,EC_SOLPV,2017]
      0.010300056986987756    V_Activity[2017,fall,2,ED_BATT,2017]
      9.75199957203971e-08    V_Activity[2017,fall,2,ED_SOLPV,2017]
      2.745279340252011e-05   V_Activity[2017,fall,2,IMPSOLAR,2017]
      0.009587668889520512    V_Activity[2017,fall,2,LOCAL,2017]
      9.166879597717327e-06   V_Activity[2017,fall,2,TRANS,2017]
      0.009539784060145984    V_Activity[2017,fall,3,DIST,2017]
      1.505257775613688e-06   V_Activity[2017,fall,3,EC_SOLPV,2017]
      0.010256402327850784    V_Activity[2017,fall,3,ED_BATT,2017]
      1.505257775613688e-08   V_Activity[2017,fall,3,ED_SOLPV,2017]
      4.237441811414722e-06   V_Activity[2017,fall,3,IMPSOLAR,2017]
      0.009539784060145984    V_Activity[2017,fall,3,LOCAL,2017]
      1.4149423090768666e-06  V_Activity[2017,fall,3,TRANS,2017]
      0.00958969627428957     V_Activity[2017,fall,4,DIST,2017]
      0.010311501370203839    V_Activity[2017,fall,4,ED_BATT,2017]
      0.00958969627428957     V_Activity[2017,fall,4,LOCAL,2017]
      0.00994203245381808     V_Activity[2017,fall,5,DIST,2017]
      0.01069035747722374     V_Activity[2017,fall,5,ED_BATT,2017]
      0.00994203245381808     V_Activity[2017,fall,5,LOCAL,2017]
      0.010455542338721261    V_Activity[2017,fall,6,DIST,2017]
      8.78326757759246e-08    V_Activity[2017,fall,6,EC_SOLPV,2017]
      0.011242435202744315    V_Activity[2017,fall,6,ED_BATT,2017]
      2.472572198403673e-07   V_Activity[2017,fall,6,IMPSOLAR,2017]
      0.010455542338721261    V_Activity[2017,fall,6,LOCAL,2017]
      8.256271522936912e-08   V_Activity[2017,fall,6,TRANS,2017]
      0.01079761065936707     V_Activity[2017,fall,7,DIST,2017]
      0.0013632481482635569   V_Activity[2017,fall,7,EC_SOLPV,2017]
      0.010315248301479804    V_Activity[2017,fall,7,ED_BATT,2017]
      1.3632481482635569e-05  V_Activity[2017,fall,7,ED_SOLPV,2017]
      0.0038376713918189596   V_Activity[2017,fall,7,IMPSOLAR,2017]
      0.01079761065936707     V_Activity[2017,fall,7,LOCAL,2017]
